order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivered_date,region,returned,request_date,return_reason,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,year_month,delivery_days,is_returned,net_sales
O100000,C17270,P234890,Home,164.08,0.15,1,Credit Card,23-12-2023,27-12-2023,West,No,,,139.47,7.88,31.17,60,Female,2023-12,4,0,139.47
O100001,C17603,P228204,Grocery,24.73,0,1,Credit Card,03-04-2025,09-04-2025,South,No,,,24.73,4.6,-2.62,37,Male,2025-04,6,0,24.73
O100002,C10860,P213892,Electronics,175.58,0.05,1,Credit Card,08-10-2024,12-10-2024,North,No,,,166.8,6.58,13.44,34,Male,2024-10,4,0,166.8
O100003,C15390,P208689,Electronics,63.67,0,1,UPI,14-09-2024,20-09-2024,South,No,,,63.67,5.5,2.14,21,Female,2024-09,6,0,63.67
O100004,C15226,P228063,Home,16.33,0.15,1,COD,21-12-2024,27-12-2024,East,No,,,13.88,2.74,1.15,39,Male,2024-12,6,0,13.88
O100005,C15191,P214062,Beauty,53.91,0.1,2,Credit Card,14-04-2024,19-04-2024,South,No,,,97.04,6.32,37.35,35,Female,2024-04,5,0,97.04
O100006,C13772,P201363,Electronics,266.5,0,1,PayPal,20-05-2025,25-05-2025,East,No,,,266.5,9.1,22.88,49,Male,2025-05,5,0,266.5
O100007,C13092,P216691,Beauty,9.98,0,1,Credit Card,14-09-2023,18-09-2023,West,No,,,9.98,4.51,-0.02,66,Other,2023-09,4,0,9.98
O100008,C15734,P202751,Fashion,6.61,0.05,1,Debit Card,23-10-2023,29-10-2023,West,No,,,6.28,3.43,-1.23,37,Female,2023-10,6,0,6.28
O100009,C16265,P207782,Grocery,10.91,0,1,Credit Card,31-10-2023,06-11-2023,South,No,,,10.91,2.76,-1.89,56,Male,2023-10,6,0,10.91
O100010,C10466,P217648,Beauty,6.61,0.1,1,Debit Card,07-02-2024,12-02-2024,South,No,,,5.95,2.16,0.52,40,Female,2024-02,5,0,5.95
O100011,C15334,P212540,Beauty,16.22,0,1,PayPal,08-07-2024,13-07-2024,South,No,,,16.22,3.72,3.58,21,Other,2024-07,5,0,16.22
O100012,C14426,P245991,Grocery,10.56,0.1,1,Credit Card,13-10-2024,17-10-2024,West,No,,,9.5,4.99,-4.23,22,Female,2024-10,4,0,9.5
O100013,C15578,P205339,Toys,7.12,0,1,Debit Card,01-11-2023,06-11-2023,North,No,,,7.12,3.35,-0.5,56,Female,2023-11,5,0,7.12
O100014,C16231,P227020,Home,39.19,0,2,Credit Card,24-02-2025,27-02-2025,North,No,,,78.38,7.91,14.04,63,Male,2025-02,3,0,78.38
O100015,C13444,P227609,Home,12.63,0.2,4,Credit Card,03-05-2024,06-05-2024,North,No,,,40.42,6.19,5.13,36,Male,2024-05,3,0,40.42
O100016,C13171,P205848,Sports,96.61,0.05,1,PayPal,25-08-2024,29-08-2024,West,No,,,91.78,3.6,23.93,47,Male,2024-08,4,0,91.78
O100017,C12919,P216877,Fashion,16,0,3,PayPal,12-09-2024,17-09-2024,South,No,,,48,4.48,12.32,37,Male,2024-09,5,0,48
O100018,C17831,P218405,Electronics,734.32,0,2,Wallet,20-06-2025,24-06-2025,South,No,,,1468.64,10.9,165.34,58,Female,2025-06,4,0,1468.64
O100019,C10130,P248629,Fashion,50.52,0,1,Credit Card,10-10-2024,13-10-2024,North,Yes,16-10-2024,Missing/Wrong item,50.52,6.2,11.48,56,Male,2024-10,3,1,0
O100020,C11685,P246233,Toys,17.99,0,2,PayPal,10-05-2024,14-05-2024,West,No,,,35.98,5.56,8.83,64,Female,2024-05,4,0,35.98
O100021,C17476,P221471,Fashion,39.54,0,1,COD,14-11-2024,20-11-2024,North,No,,,39.54,5.3,8.54,49,Other,2024-11,6,0,39.54
O100022,C10769,P203302,Electronics,128.8,0,1,Debit Card,14-12-2024,18-12-2024,North,No,,,128.8,7.77,7.69,41,Female,2024-12,4,0,128.8
